
=== RUN 2026-09-18T16:40:36.346890 seed=42 pop=80 elite=10 mut_rate=0.15 sigma=0.25 crossover=0.5 gens=5000 ===

MILESTONE gen 1: FIRST BIRD SURVIVES 100+ FRAMES
MILESTONE gen 1: FIRST PIPE PASSED
2026-09-18T16:40:44.821096 gen=97 best=61.0 avg=55.6 score=0 alive=61 dt=0.05s
2026-09-18T16:40:44.908438 gen=98 best=202.0 avg=57.8 score=1 alive=102 dt=0.07s
2026-09-18T16:40:44.996427 gen=99 best=206.0 avg=59.6 score=1 alive=106 dt=0.08s
2026-09-18T16:40:45.086114 gen=100 best=206.0 avg=60.5 score=1 alive=106 dt=0.08s
2026-09-18T16:40:45.233074 gen=101 best=495.0 avg=67.7 score=3 alive=195 dt=0.13s
2026-09-18T16:40:45.315914 gen=102 best=206.0 avg=60.8 score=1 alive=106 dt=0.07s
2026-09-18T16:40:45.399041 gen=103 best=206.0 avg=63.6 score=1 alive=106 dt=0.07s
2026-09-18T16:40:45.482997 gen=104 best=206.0 avg=59.9 score=1 alive=106 dt=0.07s
2026-09-18T16:40:45.626240 gen=105 best=495.0 avg=73.5 score=3 alive=195 dt=0.13s
2026-09-18T16:40:45.710100 gen=106 best=206.0 avg=69.9 score=1 alive=106 dt=0.07s
2026-09-18T16:40:45.824687 gen=107 best=350.0 avg=64.0 score=2 alive=150 dt=0.10s
2026-09-18T16:40:45.966849 gen=108 best=494.0 avg=75.0 score=3 alive=194 dt=0.13s
2026-09-18T16:40:46.095077 gen=109 best=346.0 avg=67.9 score=2 alive=146 dt=0.12s
2026-09-18T16:40:46.219289 gen=110 best=333.0 avg=65.2 score=2 alive=133 dt=0.11s
2026-09-18T16:40:46.307254 gen=111 best=206.0 avg=62.3 score=1 alive=106 dt=0.07s
2026-09-18T16:40:46.439026 gen=112 best=346.0 avg=63.8 score=2 alive=146 dt=0.12s
2026-09-18T16:40:46.563486 gen=113 best=350.0 avg=67.7 score=2 alive=150 dt=0.09s
2026-09-18T16:40:46.637817 gen=114 best=206.0 avg=60.5 score=1 alive=106 dt=0.06s
2026-09-18T16:40:46.758923 gen=115 best=494.0 avg=68.2 score=3 alive=194 dt=0.11s
2026-09-18T16:40:46.828064 gen=116 best=205.0 avg=64.5 score=1 alive=105 dt=0.06s
2026-09-18T16:40:46.897081 gen=117 best=206.0 avg=71.9 score=1 alive=106 dt=0.06s
2026-09-18T16:40:46.966576 gen=118 best=205.0 avg=61.9 score=1 alive=105 dt=0.06s
2026-09-18T16:40:47.086299 gen=119 best=496.0 avg=73.0 score=3 alive=196 dt=0.11s
2026-09-18T16:40:47.154658 gen=120 best=206.0 avg=66.1 score=1 alive=106 dt=0.06s
2026-09-18T16:40:47.224060 gen=121 best=206.0 avg=60.5 score=1 alive=106 dt=0.06s
2026-09-18T16:40:47.294222 gen=122 best=206.0 avg=60.2 score=1 alive=106 dt=0.06s
2026-09-18T16:40:47.387755 gen=123 best=351.0 avg=67.8 score=2 alive=151 dt=0.08s
2026-09-18T16:40:47.551145 gen=124 best=641.0 avg=74.8 score=4 alive=241 dt=0.15s
2026-09-18T16:40:47.715320 gen=125 best=496.0 avg=74.9 score=3 alive=196 dt=0.15s
2026-09-18T16:40:47.827687 gen=126 best=346.0 avg=67.8 score=2 alive=146 dt=0.10s
2026-09-18T16:40:47.953342 gen=127 best=205.0 avg=69.8 score=1 alive=105 dt=0.11s
2026-09-18T16:40:48.114779 gen=128 best=346.0 avg=69.5 score=2 alive=146 dt=0.15s
2026-09-18T16:40:48.229115 gen=129 best=201.0 avg=64.1 score=1 alive=101 dt=0.09s
2026-09-18T16:40:48.326066 gen=130 best=206.0 avg=65.3 score=1 alive=106 dt=0.09s
2026-09-18T16:40:48.412799 gen=131 best=206.0 avg=71.5 score=1 alive=106 dt=0.07s
2026-09-18T16:40:48.519262 gen=132 best=351.0 avg=74.9 score=2 alive=151 dt=0.10s
2026-09-18T16:40:48.625401 gen=133 best=346.0 avg=66.2 score=2 alive=146 dt=0.09s
2026-09-18T16:40:48.735947 gen=134 best=351.0 avg=66.0 score=2 alive=151 dt=0.10s
2026-09-18T16:40:48.846239 gen=135 best=349.0 avg=73.7 score=2 alive=149 dt=0.10s
2026-09-18T16:40:48.967283 gen=136 best=349.0 avg=69.8 score=2 alive=149 dt=0.11s
2026-09-18T16:40:49.064206 gen=137 best=205.0 avg=60.9 score=1 alive=105 dt=0.08s
2026-09-18T16:40:49.170897 gen=138 best=205.0 avg=62.8 score=1 alive=105 dt=0.09s
2026-09-18T16:40:49.347742 gen=139 best=491.0 avg=66.7 score=3 alive=191 dt=0.16s
2026-09-18T16:40:49.553451 gen=140 best=636.0 avg=70.1 score=4 alive=236 dt=0.19s
2026-09-18T16:40:49.645864 gen=141 best=205.0 avg=59.6 score=1 alive=105 dt=0.08s
2026-09-18T16:40:49.766456 gen=142 best=346.0 avg=72.2 score=2 alive=146 dt=0.11s
2026-09-18T16:40:49.883279 gen=143 best=346.0 avg=68.2 score=2 alive=146 dt=0.10s
